time,relative_humidity_2m (%),temperature_2m (°C),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),wind_speed_10m (km/h),precipitation (mm)
2024-03-01T00:00,76,-23.1,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T00:15,76,-23.2,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T00:30,76,-23.2,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T00:45,76,-23.2,0.0,0.0,0.0,0.0,1.6,0.00
2024-03-01T01:00,76,-23.2,0.0,0.0,0.0,0.0,1.6,0.00
2024-03-01T01:15,76,-23.3,0.0,0.0,0.0,0.0,1.5,0.00
2024-03-01T01:30,76,-23.4,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T01:45,77,-23.4,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T02:00,77,-23.4,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T02:15,77,-23.4,0.0,0.0,0.0,0.0,1.8,0.00
2024-03-01T02:30,78,-23.4,0.0,0.0,0.0,0.0,1.5,0.00
2024-03-01T02:45,78,-23.4,9.7,0.0,9.7,0.0,1.6,0.00
2024-03-01T03:00,78,-23.2,27.3,1.4,25.9,13.8,1.6,0.00
2024-03-01T03:15,78,-23.2,51.9,4.8,47.1,52.7,1.6,0.00
2024-03-01T03:30,78,-23.1,82.3,10.3,72.0,80.3,1.8,0.00
2024-03-01T03:45,78,-22.9,116.4,19.9,96.4,121.2,2.2,0.00
2024-03-01T04:00,77,-22.5,149.9,32.6,117.3,163.1,2.2,0.00
2024-03-01T04:15,76,-21.8,184.1,49.2,134.9,210.7,2.2,0.00
2024-03-01T04:30,75,-21.0,219.2,69.9,149.3,262.5,2.2,0.00
2024-03-01T04:45,73,-20.0,255.2,92.4,162.8,310.9,1.8,0.00
2024-03-01T05:00,72,-19.0,288.9,119.9,168.9,367.4,1.5,0.00
2024-03-01T05:15,70,-18.2,322.4,149.3,173.1,422.0,1.1,0.00
2024-03-01T05:30,69,-17.4,350.8,173.3,177.4,457.0,0.8,0.00
2024-03-01T05:45,67,-16.6,373.9,184.9,189.0,459.2,1.0,0.00
2024-03-01T06:00,65,-15.8,386.8,179.1,207.7,422.5,1.8,0.00
2024-03-01T06:15,63,-14.9,395.6,164.2,231.4,370.7,2.9,0.00
2024-03-01T06:30,60,-14.1,401.4,150.4,251.0,327.4,3.7,0.00
2024-03-01T06:45,57,-13.2,412.4,151.0,261.4,318.7,4.8,0.00
2024-03-01T07:00,55,-12.4,425.3,162.7,262.7,335.1,6.3,0.00
2024-03-01T07:15,53,-11.7,437.3,179.3,257.9,362.6,8.1,0.00
2024-03-01T07:30,51,-10.9,447.2,194.9,252.2,388.9,10.1,0.00
2024-03-01T07:45,50,-10.3,453.0,203.5,249.6,402.6,12.0,0.00
2024-03-01T08:00,50,-9.8,454.9,209.9,244.9,414.2,13.8,0.00
2024-03-01T08:15,52,-9.6,453.7,212.4,241.3,419.9,15.4,0.00
2024-03-01T08:30,57,-9.4,447.5,209.8,237.7,418.0,16.3,0.00
2024-03-01T08:45,61,-9.4,440.4,203.3,237.1,410.1,17.4,0.00
2024-03-01T09:00,64,-9.3,427.3,189.9,237.4,390.0,18.3,0.00
2024-03-01T09:15,65,-9.2,412.2,173.6,238.7,365.0,19.1,0.00
